"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20937","Create_Sample_Form_success_表单创建成功","TestCase","2025-12-26","broken","2025-12-26","TestCreateSampleForm","Test_create_sample_form","",""
"","4565","Login_success_账号密码正确，登录成功","TestCase","2025-12-26","passed","2025-12-26","TestLogin","Test_login","",""
